No,Age,Male/Female,number sequences marks,number sequences time(s),number sequences duration,number sequences answered,perimeter marks,perimeter time(s),perimeter duration,perimeter answered,ratio marks,ratio time(s),ratio duration,ratio answered,fractions/decimals marks,fractions/decimals time(s),fractions/decimals duration,fractions/decimals answered,indices marks,indices time(s),indices duration,indices answered,algebra marks,algebra time(s),algebra duration,algebra answered,angles marks,angles time(s),angles duration,angles answered,volume and capacity marks,volume and capacity time(s),volume and capacity duration,volume and capacity answered (1),area marks,area time(s),area duration,area answered (2),probability marks,probability time(s),probability duration,probability answered (4),Total,Pre-Marks,Pure math marks (47),Applied math mark (53),No of questions attempted (21),Preferred Study Method,Preferred Lesson,Disliked lesson,fav subject,disliked subject,Peer
11,14,M,4,313,313,1,5,543,230,2,6,590,47,2,11,1125,535,2,0,0,0,0,8,1633,254,1,13,1506,375,2,0,0,0,0,1,2056,512,2,3,263,263,2,51,15,25,26,14,Only school lessons,angles,none,science,history,24
12,14,M,2,131,131,1,5,370,239,2,6,498,128,2,6,1211,713,2,0,0,0,0,8,0,0,1,12,1485,474,2,0,0,0,0,1,1894,409,2,5,2423,529,3,45,7,22,23,15,practicing,angles,none,science,tamil,24
13,15,M,3,70,70,2,4,199,129,2,6,352,153,1,5,1741,1389,2,0,2210,469,2,8,1643,445,2,10,2431,788,2,1,0,70,1,0,0,0,0,0,0,0,0,37,15,21,16,14,figures,angles,circle theory,health,none,24
14,15,M,4,56,56,2,2.5,154,98,2,9,198,44,2,9,385,187,2,0,1311,926,2,12,1606,295,2,12,1962,356,2,2,2202,240,1,6,2400,198,2,6,2340,302,2,62.5,40,28,34.5,19,practicing,algebra,none,none,none,24
15,13,F,2,105,105,2,3,190,85,1,9,388,198,2,0,437,49,1,0,648,211,2,4,821,173,1,4,1254,433,2,0,1338,84,1,0,1558,220,2,7,2145,587,3,29,8,10,19,17,Only school lessons,ratio,fractions,civics,none,10
16,13,F,2,175,175,2,3,718,543,1,0,437,350,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,380,1,0,1440,423,1,0,1560,120,1,1,2400,340,2,6,6,2,4,10,Only school lessons,perimeter,none,health,maths,10
17,13,F,4,185,185,1,3,863,678,2,6,1537,674,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,181,1,0,0,0,0,0,1723,223,1,8,2400,477,3,21,Ab ,4,17,10,Only school lessons,probability,none,dancing,maths,10
18,15,F,4,75,75,2,3,132,57,2,9,305,173,2,0,0,0,2,0,0,0,1,2,0,60,1,2,0,72,1,3,1320,388,1,0,1380,472,2,6,0,422,3,29,3,8,21,17,Only school lessons,ratio,triangle theory,sinhala,history,10
19,15,F,4,40,40,2,3,157,117,2,9,272,115,2,8,405,133,2,0,712,307,2,10,744,32,2,13,989,245,2,3,1485,496,1,3,1668,183,2,6,2199,531,4,59,42,27,32,21,figures,angles,triangle theory,buddhism,history,24
20,15,F,4,40,40,2,3,215,175,2,9,290,75,2,6,395,105,2,0,710,315,2,10,945,235,2,12,1109,164,2,4,1404,295,1,3,1650,246,2,7,0,480,4,58,25,26,32,21,Only school lessons,angles,geometry,buddhism,home science,24
21,15,M,4,82,82,2,3,200,118,2,9,222,22,2,4,328,106,2,0,397,69,2,4,421,24,1,8,519,98,2,1,2100,1581,1,4,2280,180,2,2,0,512,1,39,37,16,23,17,practicing,ratio,none,maths,health,24
22,15,M,4,128,128,2,3,242,114,2,9,308,66,2,6,392,84,2,0,1107,715,2,2,1401,294,1,7,1821,420,2,1,0,282,1,3,2385,564,2,2,0,527,2,37,39,13,24,18,practicing,ratio,none,sinhala,maths,24
23,15,M,2,123,123,2,3,200,77,2,9,215,15,2,2,622,407,1,0,1280,658,2,2,2036,756,1,7,2240,204,2,1,2293,53,1,1,2336,43,2,2,2400,64,1,29,37,11,18,16,Only school lessons,ratio,probability,maths,health,24
24,13,M,3,93,93,2,5,253,160,2,9,349,96,2,2,660,311,2,3,841,181,2,8,1169,328,2,13,1378,209,2,0,1600,222,1,3,1953,353,2,10,2353,400,4,56,28,27,29,21,Only school lessons,angles,none,none,none,20
25,13,M,4,94,94,2,5,251,157,2,9,351,100,2,2,679,328,2,3,850,171,2,8,1094,244,2,13,1378,284,2,0,1600,222,1,3,1948,348,2,7,2435,487,4,54,35,28,26,21,figures,angles,none,sinhala,none,20
26,13,M,4,337,337,2,5,434,97,2,9,478,44,2,2,775,297,2,1.5,1022,247,2,10,1189,167,2,13,1320,131,2,0,1624,304,1,3,1920,296,2,8,2426,506,4,55.5,18,28.5,27,21,practicing,angles,none,ict,PTS,20
27,15,M,2,242,242,1,2,473,231,2,4,505,32,1,2,1313,808,1,0,1653,340,1,0,1854,201,2,4,2048,194,2,0,0,60,0,0,0,70,0,0,0,95,0,14,23,6,8,10,Only school lessons,ratio,volume and capacity,sinala,health,24
28,15,M,3,70,70,2,2,138,68,2,4,356,218,1,2,917,561,1,0,1168,251,2,8,1380,212,2,9,1697,317,2,1,0,92,1,0,0,60,0,0,0,85,0,29,18,20,9,13,Only school lessons,angles,circle theory,sinhala,science,24
29,15,M,4,85,85,2,3,234,149,2,9,300,66,2,2,597,297,2,0,795,198,2,2,1212,417,2,8,2082,870,2,1,0,95,1,0,2351,258,2,0,2400,49,0,29,18,14,15,17,Only school lessons,ratio,triangles,health,buddhism,24
30,15,M,2,200,200,2,2,377,177,2,4,578,201,2,2,1305,727,2,0,1713,408,2,0,1789,213,2,5,1985,196,2,0,2160,175,1,0,2308,148,2,0,2400,92,4,15,28,7,8,21,practicing,angles,simultaneous equations,health,sinhla,24
31,14,M,6,54,54,2,3,110,56,2,6,160,50,2,10,280,120,2,0,1037,757,2,4,504,224,2,12,713,209,2,4,930,217,1,5,1230,300,2,2,1690,460,4,52,78,22,30,21,practicing,angles,roman numbers,maths,history,24
32,13,M,4,122,75,2,2,568,56,2,9,433,89,2,11,1080,239,2,2.048389861,537.0663571,311,2,4,2036,494,1,13,1156,72,2,2,1699.53415,1030,0,3,2725,572,1,3,2435,700,3,6,23,25.03320803,27.03847668,11,figures,angles,roman numbers,sinala,none,9
33,14,F,3,109,179,2,3.460675797,380,77,2,5,970,15,2,2,1269,264,2,0.815827646,830.5917451,593,2,3,585,0,2,8,1838,548,2,0,1268.007378,693,1,0,1949.9162,610,1,1,1922.526375,170,0,35.91247649,28,14.34130151,23.21077293,20,figures,angles,simultaneous equations,maths,tamil,20
34,14,M,5,245,40,2,2,309,100,2,1,357,385,2,0,1590,79,2,0,592.9548765,459,1,9,1474,581,1,0,2128,511,2,2,1851.751251,56,1,1,1785.186956,660,1,2,2435,144,4,23.56940039,18,11.07743666,15.93701442,14,practicing,algebra,circle theory,science,history,10
35,15,F,2,235,159,1,2.143948987,304,351,2,2,160,149,2,5,514,477,2,0,1355.027278,926,2,6,510,0,1,6,2431,382,2,1,778.7507304,158,1,3,1532.502556,0,1,0,1852.376885,346,2,23.70403281,5,2.178309203,19.59396998,15,figures,algebra,percentages,sinhala,health,24
36,15,F,5,98,40,1,4.018092755,517,194,2,4,908,182,2,0,1008,586,1,0,0,162,1,5,0,736,2,12,2178,478,2,2,2428,294,1,2,1482.801975,772,2,0,920.5370851,339,3,42.1133165,35,27.67715317,22.1170049,21,figures,angles,set theory,health,tamil,10
37,14,M,2,40,174,2,2.1576269,110,318,2,11,405,144,2,5,1048,645,1,0.396507613,479.0177971,511,1,11,429,538,2,0,1459,748,2,0,599.3649549,658,1,2,2725,0,2,10,2083.793354,123,3,35.90279725,23,7.86778737,36.98880415,12,Only school lessons,ratio,percentages,sinala,maths,10
38,14,M,2,73,165,2,3.212117071,110,226,2,6,726,65,2,0,179,551,2,0.771862496,171.5923054,347,1,4,1281,220,2,7,1053,72,2,0,1597.724303,702,1,1,1502.636444,465,1,0,233.5402722,0,2,38.07645989,37,21.19215568,16.99183024,16,practicing,angles,decimals,sinala,tamil,10
39,14,M,2,337,162,2,2.283593605,110,290,2,7,636,111,1,2,296,661,1,0,1369.000967,155,1,7,2036,315,2,4,1393,512,2,1,59.90625448,691,1,2,1988.815202,598,2,4,2276.082033,13,3,46.47113344,20,28.5,14.62065469,15,figures,ratio,set theory,science,tamil,24
40,15,F,2,40,164,2,2.809972063,696,196,2,5,533,63,2,11,430,431,1,0.587680875,1663.236153,7,1,11,1358,205,1,12,2117,494,2,0,90.40184868,67,1,0,1981.26655,428,2,0,1522.6615,252,1,55.31869316,78,18.52470003,23.17137495,16,figures,angles,volume and capacity,buddhism,health,20
41,14,F,3,145,40,2,5,631,56,2,9,160,130,2,4,1623,0,2,0.883389676,0,501,2,4,1581,160,1,11,930,627,2,2,0,299,1,3,1195.081072,702,1,4,1159.00908,510,1,22.90796527,5,28.5,13.12288269,17,figures,angles,triangles,sinhala,sinhla,24
42,14,M,5,40,145,2,3.735376203,347,418,2,1,239,131,2,0,416,325,2,0,1526.557008,0,2,1,370,221,1,13,2431,810,2,0,1509.196794,632,0,0,1408.550252,417,2,8,2435,263,0,41.94665603,Ab ,16.8441524,22.52633553,21,figures,angles,triangle theory,civics,buddhism,10
43,15,M,2,188,215,2,4.01157532,306,102,2,11,324,247,2,0,1274,127,2,1.313459035,482.8657803,0,1,0,1769,334,1,1,1463,392,2,0,1209.032643,290,1,0,735.8881801,674,2,4,0,372,1,62.5,9,28.5,28.10495129,18,Only school lessons,ratio,simultaneous equations,history,science,10
44,14,F,2,238,105,2,3.448006768,419,177,2,11,327,195,2,7,825,647,1,0,818.7685001,64,2,2,738,0,2,6,1100,93,2,3,712.287552,536,1,2,1631.203399,377,2,4,1442.813857,386,4,8.998034247,35,20.01268682,25.41464138,21,practicing,ratio,area,health,english,24
45,15,M,2,65,88,2,4.083268881,445,162,2,7,219,47,1,2,427,728,2,1.686125352,0,414,2,0,0,611,2,9,1265,585,2,2,1910.397097,113,1,5,1660.276881,478,2,0,1155.510894,158,3,27.02547684,18,17.20925691,22.16298473,16,practicing,angles,volume and capacity,none,PTS,14
46,15,M,5,165,40,2,5,622,56,2,2,839,205,2,5,391,79,2,1.267242256,825.8427619,459,2,7,0,487,1,0,2067,709,2,0,408.9949747,0,0,2,1666.892234,987,2,4,423.9975101,192,1,56.86058988,7,17.06894302,19.59606956,21,figures,algebra,simultaneous equations,sinala,science,10
47,15,M,4,129,77,2,2.045173794,203,56,2,3,344,126,2,6,1168,416,2,1.182005703,907.7631939,571,1,7,0,264,2,6,1406,109,2,0,850.9170081,82,1,3,802.6434444,0,2,1,1340.323832,42,3,28.19732965,10,26.97899996,11.78998229,18,figures,algebra,decimals,maths,none,20
48,15,M,3,96,198,2,3.672191298,349,411,1,7,490,57,2,1,622,0,2,1.873086607,359.7439876,244,2,4,1117,0,2,8,2431,255,2,2,982.7091103,338,1,3,556.6346253,674,2,0,964.3310539,444,0,56.4208714,78,21.2319251,9.382477475,16,figures,angles,geometry,dancing,maths,24
49,13,F,4,180,40,2,4.611580264,230,219,2,6,433,471,2,0,909,544,2,2.283115388,1005.910161,926,1,4,413,491,1,13,1370,330,2,0,2428,329,1,1,2283.344568,545,0,2,1863.129663,348,3,25.85648937,40,26.94906938,18.85668588,11,figures,angles,volume and capacity,science,sinhla,10
50,15,M,2,139,220,2,2.607039729,317,244,2,4,160,316,2,0,364,127,2,0.017632551,1060.477484,245,0,3,0,426,2,6,2058,649,2,1,1060.173466,0,1,0,760.0664388,305,2,4,1578.420862,229,3,52.84914069,42,2,19.33843734,19,Only school lessons,angles,geometry,maths,maths,10
51,13,M,3,146,114,2,3.085487222,110,118,2,6,572,252,1,0,137,257,1,0.879033126,763.3025604,0,1,5,1080,339,1,5,2225,588,2,2,1503.064384,292,1,1,2101.770497,0,2,1,1252.92532,256,0,26.09682843,78,28.5,24.13652224,16,practicing,ratio,set theory,ict,PTS,10
52,14,F,4,61,216,2,3.285075573,308,56,2,6,519,15,2,0,1415,1089,1,1.905375673,1126.453295,0,2,5,1725,123,2,12,1563,423,2,2,0,333,0,0,1507.710415,0,2,1,740.600259,123,4,40.64131047,25,4.089000072,9.267345319,13,practicing,angles,decimals,maths,english,10
53,14,M,4,62,190,2,2.158623887,366,252,2,7,603,274,2,6,1007,131,1,0,1034.339932,169,1,2,955,204,0,9,1834,391,2,1,1565.615083,212,1,0,1764.287555,179,1,1,1082.776402,241,1,24.7578593,Ab,17.90624417,21.91530636,19,figures,angles,triangle theory,home science,maths,24
54,14,F,4,92,257,2,3.678594639,121,202,2,6,651,146,1,7,700,335,1,0,2113.311776,434,0,0,1152,0,1,3,707,497,2,0,1768.416836,188,0,3,944.7891879,614,1,1,0,482,4,55.12592614,15,28.5,7.844774014,18,Only school lessons,fractions/decimals,triangles,dancing,english,24
55,14,M,4,117,40,2,3.745669723,511,167,2,5,382,305,2,9,375,698,2,0.706416943,1549.667706,461,1,4,1599,219,1,12,2118,423,2,2,2428,35,0,2,2623.354491,959,1,3,398.7994734,704,2,21.4674779,39,14.53108395,11.8434961,12,practicing,angles,fractions,history,history,24
56,13,M,3,267,110,2,4.600278336,423,492,2,6,557,200,2,6,984,126,2,0.171381381,554.1870835,476,0,5,0,0,1,9,1816,72,2,1,2428,330,1,1,1586.753719,527,2,4,202.1754224,433,2,60.25501329,Ab ,23.01236896,35.82692493,18,practicing,angles,geometry,sinala,health,24
57,13,M,4,135,40,2,3.415071715,110,349,2,3,214,115,2,1,954,770,1,0.415403832,1720.772609,0,2,12,1752,366,0,9,2431,203,2,1,2324.950906,462,1,0,1843.329506,821,1,3,2435,227,0,33.47928078,Ab,13.93336794,21.47188348,17,Only school lessons,algebra,area,civics,history,14
58,14,M,2,158,122,1,2.37267467,510,271,2,7,697,212,2,12,0,581,2,0.346874704,1238.162772,432,0,7,1249,569,2,1,1807,633,2,1,955.3888528,422,1,2,2662.267626,93,1,0,2435,298,1,12.32929786,23,5.589993725,25.20164617,19,practicing,fractions/decimals,area,civics,none,24
59,14,F,4,300,213,2,2.730816491,119,176,2,4,604,15,2,0,652,71,1,0.227627665,1780.633454,0,1,4,1419,208,1,3,1985,885,2,3,452.6278326,482,1,0,2156.704897,984,0,1,574.5255639,427,2,50.69331824,37,17.01884512,11.67492839,19,practicing,number sequences,triangle theory,ict,history,10
60,15,M,5,133,66,1,3.155992699,232,193,2,11,539,22,2,7,646,579,1,0.419485732,1352.579548,272,1,7,645,138,2,4,1676,325,1,1,801.2214577,479,1,0,1714.98189,741,1,2,2435,259,4,43.93080202,6,28.5,25.00339898,21,figures,ratio,triangle theory,maths,geography,14
61,15,M,3,337,257,1,2.396674344,163,334,2,2,251,184,2,0,770,441,2,0.302093825,237.0565576,221,0,3,968,128,1,3,1042,357,2,2,179.4722663,0,0,2,1527.831817,959,2,1,1383.854329,0,4,15.9010658,15,16.2832963,9.953503888,14,figures,number sequences,probability,buddhism,science,10
62,14,M,3,198,148,2,3.435866377,110,59,2,4,493,118,2,0,1106,347,2,0,878.6742175,141,1,5,1794,0,1,13,1630,679,2,1,1603.468299,396,1,2,2405.373076,844,2,0,0,289,1,18.73210774,69,11.96506635,27.67465558,11,practicing,angles,geometry,english,tamil,10
63,14,M,2,102,239,2,4.57578975,157,229,2,8,593,55,2,8,666,690,2,0.915071053,1967.234566,206,1,8,2036,698,2,13,1971,365,2,0,486.9004647,0,1,3,1922.208348,0,1,0,2206.04438,764,0,32.84325537,28,14.83913791,18.60399947,17,Only school lessons,angles,area,ict,home science,20
64,13,M,2,232,69,2,3.323591014,463,126,2,11,200,285,2,0,769,463,2,1.675744476,1234.677422,331,1,1,1091,431,2,6,830,99,2,0,2428,0,1,1,1685.437896,587,1,4,2387.706952,0,1,39.57360321,2,28.5,13.62077184,17,Only school lessons,ratio,volume and capacity,ict,history,10
65,15,M,2,205,154,1,3.007499169,110,228,2,1,160,281,2,0,620,0,2,0.855880584,498.5644659,299,1,12,658,382,2,12,1627,284,2,1,1153.965599,633,1,2,2343.553916,705,2,1,2435,381,3,38.42740552,78,11.82265053,37,20,practicing,algebra,volume and capacity,civics,maths,10
66,13,M,2,251,99,2,3.056235558,473,207,2,5,168,281,2,5,1081,297,2,0,526.1568666,373,2,1,1873,301,1,8,2304,152,2,2,2063.608354,10,0,0,1360.752325,0,1,5,2422.314898,382,4,13.67493112,9,16.46336236,19.56877521,13,Only school lessons,angles,triangle theory,home science,PTS,24
67,15,M,2,313,79,2,2.558763419,363,310,2,1,626,336,2,0,142,94,2,0,604.2731641,159,1,6,0,619,1,11,1214,429,2,0,1386.319241,0,1,0,2674.533247,752,2,10,2435,442,4,43.6501759,39,24.73151263,20.58190129,13,practicing,angles,decimals,sinhala,history,10
68,13,M,3,88,216,2,3.265955547,286,56,2,7,627,290,1,3,632,1034,2,0.36035016,1488.985104,291,1,7,1908,838,2,11,1664,72,2,2,561.3705866,691,1,1,634.1927746,0,1,3,1329.397397,0,0,13.61685915,42,10.37551219,33.96507151,16,practicing,angles,none,ict,none,24
69,15,M,5,159,90,2,3.342038717,629,210,2,3,485,15,2,4,165,306,2,0.297996353,1658.641237,924,1,6,955,369,2,0,1100,311,2,0,352.4540667,424,1,1,2082.300058,508,2,7,601.2992499,431,4,48.90116136,Ab ,22.76752898,23.07424146,13,figures,probability,probability,civics,home science,10
70,14,F,2,200,130,2,2,328,230,2,0,167,112,2,6,1035,0,1,0.397159618,0,373,0,5,806,323,1,13,1894,712,1,0,1041.536653,901,1,0,633.6922095,641,2,1,0,37,0,53.47080547,69,6.080610233,12.04379485,10,figures,angles,set theory,science,PTS,10
71,14,M,2,40,272,2,2.156808701,457,88,2,0,483,137,2,5,398,595,2,0.182891859,0,368,1,3,1302,0,2,9,1573,712,1,0,1015.004994,207,0,1,1603.29028,750,1,3,1763.253563,269,3,42.81292011,8,26.05649507,18.49515329,19,figures,angles,triangle theory,sinala,health,10
72,14,M,3,118,227,2,2,158,56,2,9,483,229,2,2,1004,271,2,0.080947059,1953.281938,367,2,6,1285,377,2,8,1391,660,2,0,1134.709432,693,1,0,2725,867,2,4,61.41554029,201,3,46.21153618,25,25.6334731,20.7918868,21,Only school lessons,ratio,set theory,civics,english,20
73,14,F,2,67,173,1,2,422,156,2,6,583,122,1,8,6,347,1,0,705.7039002,620,2,2,812,448,1,13,1478,204,2,0,2342.243121,387,0,3,1977.409677,191,2,5,860.4069751,0,4,42.04575046,35,17.56798184,13.52212981,19,Only school lessons,angles,area,health,maths,24
74,14,F,3,106,227,2,2.221470275,114,156,2,1,657,189,2,6,409,201,1,0.801208662,96.35056575,367,0,6,440,0,2,1,2431,72,2,3,2130.795765,346,0,2,1016.98492,0,2,3,2044.592955,562,2,53.88018814,10,26.01537545,24.33864963,21,Only school lessons,fractions/decimals,probability,health,science,24
75,14,M,2,149,197,2,3.247891844,578,56,2,11,329,156,2,5,718,1028,2,0.309433335,1783.998874,457,2,11,1440,363,2,13,2132,72,1,1,1088.333189,166,1,0,1482.993156,623,1,5,101.7876481,154,0,53.92974603,6,17.63157775,5.585911765,21,practicing,angles,fractions,health,science,14
76,13,M,2,127,253,1,3.18009963,496,56,2,5,879,177,1,5,753,868,1,0.094120769,1067.561169,271,1,9,1344,208,1,5,1640,256,2,0,1812.989703,42,1,0,1908.284411,194,1,4,1003.142422,144,2,43.14383367,37,21.85276628,16.21105889,20,Only school lessons,algebra,triangles,dancing,geography,20
77,14,M,4,49,138,2,2,166,229,2,3,160,213,2,6,1718,290,1,0,1315.166268,431,1,8,627,25,2,7,721,838,2,0,923.680312,0,0,0,1265.177953,808,1,3,1529.556635,116,0,31.33603242,20,26.9853088,14.80914061,15,Only school lessons,algebra,simultaneous equations,health,english,24
78,13,M,2,167,40,1,2.586277681,687,478,2,9,181,299,1,2,1040,0,2,0,295.0571843,346,2,5,2036,433,2,9,995,303,2,1,1261.270465,593,0,0,2231.358508,0,2,0,2069.321429,9,1,16.5388096,10,26.00893249,15.43961866,20,practicing,ratio,fractions,sinhala,history,24
79,13,F,3,189,190,1,3.3003901,110,91,2,10,443,57,2,1,848,230,1,0.774354431,713.6482005,142,2,8,706,126,1,0,1551,72,2,0,669.2625736,93,1,4,1941.587378,274,2,8,1743.332666,61,2,39.88365833,37,22.34727018,23.94807416,14,Only school lessons,ratio,triangles,sinala,history,10
80,15,F,2,150,40,2,5,447,241,2,4,455,268,2,1,1568,258,2,0.205235961,1354.037353,334,2,11,908,158,2,13,1727,730,2,1,2067.54785,324,1,1,2725,0,2,4,762.8643368,147,3,45.83478918,15,8.510199124,14.32693255,14,practicing,angles,decimals,science,english,24
81,15,M,5,152,194,2,4.442063824,268,90,2,6,785,97,2,2,1010,644,2,0,2210,318,2,5,1949,309,2,4,2431,186,1,0,499.3206999,0,0,4,2073.273698,818,0,8,1109.933112,0,2,15.62731262,23,17.91761894,19.89725964,13,Only school lessons,probability,roman numbers,ict,buddhism,24
82,13,M,3,216,106,2,3.420133444,415,122,2,6,198,171,2,0,741,31,2,0.09591908,860.7906345,269,1,2,1175,49,2,13,2418,72,2,0,635.3817471,344,1,1,2245.110065,544,2,5,1784.685042,538,1,62.5,3,6.075074377,19.41884141,11,figures,angles,set theory,none,science,10
83,14,F,2,94,135,1,2.946070025,301,235,2,7,369,296,2,1,1368,1389,2,1.202945597,1259.359152,551,2,9,1741,347,2,0,897,72,2,3,2428,0,1,0,505.474202,777,1,0,0,141,4,13.08426642,6,6.569533111,19.4695458,16,figures,algebra,triangle theory,sinala,science,10
84,15,F,4,93,40,2,3.766611382,357,83,2,5,160,215,2,2,36,91,2,0.645482608,1168.618095,208,0,0,1467,93,1,10,1711,492,2,3,0,0,0,3,792.900716,900,2,5,2435,0,4,36.70029233,35,28.5,3,18,Only school lessons,angles,circle theory,science,home science,14
85,14,M,3,40,68,2,2.42174491,110,358,2,4,419,360,2,2,0,0,2,0,836.1742336,49,1,12,2036,219,1,7,1996,457,2,1,2428,228,1,2,780.5799102,0,1,5,1515.941266,0,3,50.41188813,40,19.71803746,35.8587136,12,figures,algebra,area,buddhism,home science,24
86,15,M,2,130,244,2,3.678186494,496,56,2,5,624,193,2,7,536,0,1,0,1214.981102,0,2,0,1331,10,1,11,2298,171,2,0,2428,857,1,0,1352.695436,910,2,4,2435,0,1,46.04692095,15,24.8806386,15.48374384,12,Only school lessons,angles,area,health,PTS,24
87,13,M,4,201,105,2,3.234167916,320,252,2,7,631,222,2,5,85,76,1,0.14747919,1145.159712,557,2,6,1748,606,2,13,1953,558,2,1,347.1718628,289,0,2,1656.213239,10,2,8,1815.869177,493,2,39.18083562,23,23.59125916,25.04381175,18,Only school lessons,angles,fractions,dancing,tamil,24
88,14,M,3,234,40,2,3.96825522,110,95,2,8,309,301,2,2,867,590,1,0.331844762,998.8011972,310,1,5,1654,242,2,9,1765,290,2,1,2419.505121,687,1,2,1549.744521,533,2,3,0,401,1,62.00813893,40,16.56606878,17.06345751,13,Only school lessons,angles,probability,maths,none,24
89,14,M,2,196,58,2,2.619182948,324,115,2,6,599,134,1,0,1147,174,2,0.353681298,370.7479908,166,1,11,2036,254,1,11,1005,460,2,1,89.34697904,0,1,0,1422.532783,799,2,2,261.5730392,475,3,6.076101612,15,21.16047033,22.83692569,21,Only school lessons,algebra,decimals,dancing,sinhla,10
90,14,M,2,43,205,2,5,256,56,2,2,422,15,2,0,969,713,2,0.974550782,1649.75204,225,1,4,1468,481,1,10,1705,378,2,0,0,0,1,1,0,0,2,0,2096.6936,337,4,33.04180544,78,17.74993764,13.34290494,21,practicing,angles,circle theory,sinala,maths,10
91,15,M,4,143,40,2,4.140333813,426,165,2,6,311,15,2,1,835,202,2,0.665969809,0,424,1,7,2036,2,2,13,357,350,2,1,1100.213307,44,1,3,2725,532,1,0,1735.600702,465,3,32.42226047,8,28.5,29.23834992,15,practicing,angles,triangle theory,science,health,24
92,15,M,4,205,287,1,2.873233084,602,227,2,6,608,15,2,5,844,581,1,0.827747359,2210,274,0,1,0,433,1,0,2268,212,2,0,0,528,1,0,1965.594094,282,2,0,1038.328109,512,3,41.0375908,28,9.512002206,7.037892826,18,Only school lessons,ratio,geometry,science,history,10
93,14,F,2,116,136,2,2,281,56,2,11,1015,369,1,3,217,621,1,1.294650309,515.7767445,729,1,4,954,45,2,10,1862,206,1,1,2298.177719,193,0,3,1410.145891,0,1,0,1668.465045,236,1,35.86129383,42,26.86291178,20.38665719,19,practicing,ratio,triangle theory,buddhism,tamil,24
94,14,M,3,51,221,2,4.237948457,266,77,1,4,794,125,2,0,518,1017,1,0.120465867,1061.336705,399,2,0,1519,640,0,7,1417,403,2,0,489.3936849,341,1,1,1586.776852,0,1,5,629.3528434,236,0,62.5,5,26.60689508,3,15,Only school lessons,angles,roman numbers,maths,PTS,10
